RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
2337,   another,p,14441,0.96
768,   answer,n,49969,0.97
824,   answer,v,47661,0.95
3215,   anticipate,v,9345,0.96
2489,   anxiety,n,14088,0.91
3864,   anxious,j,7096,0.96
109,   any,d,348100,0.98
4720,   any,r,5352,0.95
1387,   anybody,p,28704,0.91
1705,   anymore,r,21771,0.94
659,   anyone,p,58274,0.96
332,   anything,p,120292,0.94
1400,   anyway,r,28170,0.92
1893,   anywhere,r,18970,0.96
1984,   apart,r,17872,0.96
4785,   apart,i,5216,0.95
1280,   apartment,n,31012,0.93
3782,   apologize,v,7485,0.94
4999,   apology,n,4972,0.94
2526,   apparent,j,13434,0.93
1414,   apparently,r,26513,0.97
1866,   appeal,n,19561,0.95
2927,   appeal,v,10745,0.96
396,   appear,v,100671,0.97
1695,   appearance,n,21146,0.97
2718,   apple,n,12172,0.93
1528,   application,n,25735,0.9
941,   apply,v,42391,0.93
3200,   appoint,v,9541,0.95
3048,   appointment,n,9993,0.97
1751,   appreciate,v,20806,0.95
4365,   appreciation,n,6054,0.94
751,   approach,n,53980,0.91
1374,   approach,v,27449,0.96
1502,   appropriate,j,26237,0.91
2572,   approval,n,12795,0.96
2070,   approve,v,17329,0.95
2386,   approximately,r,15172,0.89
2221,   Arab,j,16732,0.88
3997,   Arab,n,7222,0.9
3393,   architect,n,8969,0.93
3541,   architecture,n,8449,0.92
231,   area,n,165812,0.95
3625,   arena,n,8008,0.94
779,   argue,v,51013,0.94
1189,   argument,n,33394,0.94
2603,   arise,v,13351,0.91
492,   arm,n,84865,0.91
4727,   arm,v,5232,0.97
2604,   armed,j,12966,0.93
1547,   army,n,23929,0.95
265,   around,i,143766,0.96
327,   around,r,122789,0.94
2236,   arrange,v,15258,0.96
2378,   arrangement,n,14403,0.94
3589,   array,n,8167,0.93
2159,   arrest,v,16205,0.94
3052,   arrest,n,10250,0.94
3222,   arrival,n,9302,0.97
813,   arrive,v,47435,0.97
4887,   arrow,n,5208,0.92
347,   art,n,117851,0.93
732,   article,n,54871,0.93
4915,   articulate,v,5350,0.89
4608,   artifact,n,5773,0.91
4043,   artificial,j,6730,0.95
737,   artist,n,54353,0.92
3281,   artistic,j,9423,0.93
33,   as,c,1296879,0.98
49,   as,i,829018,0.95
129,   as,r,281483,0.98
4627,   ash,n,5647,0.93
2371,   Asian,j,14873,0.92
1892,   aside,r,19056,0.96
131,   ask,v,284632,0.96
3106,   asleep,j,10684,0.88
1364,   aspect,n,29460,0.9
4242,   ass,n,6911,0.86
2882,   assault,n,11039,0.95
3591,   assemble,v,7996,0.95
4007,   assembly,n,6914,0.94
3173,   assert,v,10125,0.9
2059,   assess,v,19220,0.86
1561,   assessment,n,26318,0.85
2112,   asset,n,16977,0.93
2636,   assign,v,12836,0.93
3152,   assignment,n,9874,0.93
2497,   assist,v,13748,0.93
2098,   assistance,n,17396,0.92
2729,   assistant,n,11828,0.96
2849,   assistant,j,11391,0.94
1361,   associate,v,30406,0.88
4408,   associate,n,5860,0.95
4465,   associate,j,5859,0.94
4171,   associated,j,6754,0.9
2103,   association,n,17759,0.9
1095,   assume,v,35960,0.95
2629,   assumption,n,13434,0.89
2594,   assure,v,12542,0.97
3779,   astronomer,n,8157,0.87
22,   at,i,1767638,0.98
1609,   athlete,n,23868,0.91
3006,   athletic,j,10803,0.91
2237,   atmosphere,n,15310,0.95
4651,   atop,i,5578,0.93
2338,   attach,v,14552,0.95
792,   attack,n,50898,0.93
1545,   attack,v,23971,0.95
1232,   attempt,n,31944,0.94
1644,   attempt,v,22758,0.93
1172,   attend,v,33380,0.95
4480,   attendance,n,5963,0.92
592,   attention,n,65271,0.97
1157,   attitude,n,35437,0.91
1073,   attorney,n,37959,0.92
1881,   attract,v,19197,0.96
3836,   attraction,n,7280,0.95
2835,   attractive,j,11119,0.97
3377,   attribute,v,9228,0.91
4687,   auction,n,5621,0.91
1078,   audience,n,36227,0.96
4203,   aunt,n,6662,0.9
686,   author,n,58300,0.93
835,   authority,n,47309,0.94
4819,   authorize,v,5209,0.94
3159,   auto,n,10006,0.92
4084,   automatic,j,6580,0.96
3983,   automatically,r,6823,0.96
4042,   automobile,n,6829,0.94
4764,   autonomy,n,5849,0.85
4835,   availability,n,5519,0.88
623,   available,j,63187,0.94
1306,   average,j,29717,0.94
1454,   average,n,26568,0.93
3679,   average,v,8106,0.91
911,   avoid,v,42890,0.96
3702,   await,v,7550,0.96
4699,   awake,j,5806,0.88
2596,   award,n,12874,0.94
3720,   award,v,7666,0.94
1445,   aware,j,25503,0.97
2808,   awareness,n,12013,0.91
270,   away,r,144713,0.93
738,   away,i,52005,0.96
3304,   awful,j,9300,0.93
589,   baby,n,67881,0.94
108,   back,r,367844,0.94
323,   back,n,125006,0.94
1877,   back,v,19213,0.96
1409,   background,n,26907,0.96
4434,   backyard,n,5890,0.94
