RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
1352,   competition,n,28752,0.93
2328,   competitive,j,14938,0.93
3287,   competitor,n,9377,0.93
1874,   complain,v,19102,0.97
2345,   complaint,n,14551,0.95
1211,   complete,v,32813,0.93
1447,   complete,j,25699,0.97
1173,   completely,r,32550,0.98
1607,   complex,j,23751,0.92
3191,   complex,n,9573,0.95
3796,   complexity,n,7813,0.9
4599,   compliance,n,5973,0.88
2775,   complicated,j,11306,0.98
4689,   comply,v,5452,0.94
1772,   component,n,22085,0.88
3408,   compose,v,8866,0.93
3025,   composition,n,10961,0.89
3458,   compound,n,8573,0.94
2919,   comprehensive,j,11602,0.89
4438,   comprise,v,6258,0.88
3787,   compromise,n,7469,0.94
4707,   compromise,v,5322,0.96
590,   computer,n,67399,0.95
4232,   concede,v,6303,0.95
4208,   conceive,v,6486,0.93
2379,   concentrate,v,14155,0.96
2774,   concentration,n,12146,0.91
1160,   concept,n,35944,0.89
4686,   conception,n,5953,0.86
718,   concern,n,55203,0.94
3439,   concern,v,8702,0.93
1131,   concerned,j,34331,0.96
3425,   concerning,i,9329,0.87
2537,   concert,n,13270,0.94
1680,   conclude,v,22247,0.93
1676,   conclusion,n,23034,0.9
3338,   concrete,j,8871,0.96
4179,   condemn,v,6418,0.95
630,   condition,n,63489,0.93
1166,   conduct,v,34909,0.91
3724,   conduct,n,7821,0.92
968,   conference,n,40643,0.95
3987,   confess,v,6815,0.96
4871,   confession,n,5074,0.95
1882,   confidence,n,18955,0.97
2888,   confident,j,10831,0.97
1864,   confirm,v,19327,0.96
1183,   conflict,n,34710,0.91
2437,   confront,v,13757,0.96
4508,   confrontation,n,5762,0.94
3550,   confuse,v,8045,0.96
3362,   confusion,n,8751,0.96
639,   Congress,n,62841,0.92
2330,   congressional,j,14936,0.93
1645,   connect,v,22100,0.96
1427,   connection,n,26552,0.95
4694,   conscience,n,5317,0.96
3882,   conscious,j,7152,0.95
3252,   consciousness,n,9758,0.91
4896,   consecutive,j,5471,0.88
3346,   consensus,n,9250,0.92
4437,   consent,n,6239,0.89
1635,   consequence,n,23307,0.92
4406,   consequently,r,6463,0.86
4432,   conservation,n,6129,0.9
1851,   conservative,j,19778,0.94
2770,   conservative,n,11941,0.92
395,   consider,v,101987,0.96
2878,   considerable,j,11544,0.91
4696,   considerably,r,5481,0.93
2509,   consideration,n,14047,0.9
2210,   consist,v,16648,0.89
2245,   consistent,j,16334,0.89
3631,   consistently,r,8104,0.92
4270,   conspiracy,n,6261,0.94
2408,   constant,j,14069,0.95
2521,   constantly,r,13033,0.97
2912,   constitute,v,11945,0.87
4511,   constitution,n,6111,0.89
2712,   constitutional,j,12567,0.91
4703,   constraint,n,5942,0.86
2499,   construct,v,14234,0.89
1422,   construction,n,27114,0.94
3624,   consult,v,7778,0.96
2502,   consultant,n,13646,0.93
3031,   consume,v,10308,0.95
1056,   consumer,n,38079,0.94
3172,   consumption,n,10162,0.9
1489,   contact,n,25218,0.95
2270,   contact,v,15359,0.94
935,   contain,v,42542,0.94
3390,   container,n,8956,0.93
4858,   contemplate,v,5027,0.96
1960,   contemporary,j,19293,0.9
3587,   contend,v,8249,0.93
1745,   content,n,21821,0.91
4031,   content,j,7113,0.9
3087,   contest,n,10002,0.95
1433,   context,n,29113,0.86
4061,   continent,n,6730,0.95
294,   continue,v,126029,0.98
3296,   continued,j,9402,0.92
3682,   continuing,j,7845,0.94
3452,   continuous,j,8996,0.9
1276,   contract,n,30906,0.93
3781,   contractor,n,7634,0.92
1776,   contrast,n,21581,0.91
1319,   contribute,v,30090,0.92
1789,   contribution,n,20912,0.92
4912,   contributor,n,5084,0.94
433,   control,n,90301,0.94
938,   control,v,41771,0.95
3115,   controversial,j,9918,0.94
2898,   controversy,n,11054,0.94
4945,   convenience,n,4972,0.95
2494,   convention,n,14497,0.88
2576,   conventional,j,13209,0.93
1168,   conversation,n,33046,0.96
4717,   conversion,n,5627,0.9
2918,   convert,v,10990,0.94
3793,   convey,v,7529,0.93
3715,   convict,v,7940,0.91
3092,   conviction,n,9834,0.96
2056,   convince,v,16948,0.98
3749,   convinced,j,7389,0.97
1426,   cook,v,27725,0.91
4059,   cook,n,6866,0.93
3297,   cookie,n,9480,0.91
3299,   cooking,n,9403,0.92
1458,   cool,j,26279,0.94
3381,   cool,v,8980,0.93
4053,   cooperate,v,6763,0.95
2692,   cooperation,n,12833,0.9
4290,   cooperative,j,6671,0.87
4898,   coordinate,v,5152,0.93
4255,   coordinator,n,6478,0.91
2220,   cop,n,16228,0.91
3226,   cope,v,9952,0.9
1941,   copy,n,18244,0.97
4953,   copy,v,4970,0.95
4359,   cord,n,6071,0.94
1968,   core,n,18571,0.93
2470,   corn,n,13739,0.94
1130,   corner,n,35496,0.93
1588,   corporate,j,23621,0.93
2627,   corporation,n,12612,0.95
1808,   correct,j,20613,0.93
3279,   correct,v,8988,0.97
4410,   correctly,r,5884,0.95
3531,   correlation,n,9584,0.82
2957,   correspondent,n,12008,0.85
3507,   corridor,n,8842,0.89
3780,   corruption,n,7518,0.94
551,   cost,n,73512,0.94
1121,   cost,v,34941,0.95
4330,   costly,j,6130,0.93
4191,   costume,n,6349,0.95
4820,   cottage,n,5328,0.92
3161,   cotton,n,9734,0.94
3404,   couch,n,9209,0.89
71,   could,v,617932,0.96
2979,   council,n,10695,0.94
3448,   counsel,n,9387,0.86
3430,   counseling,n,9303,0.88
2999,   counselor,n,12170,0.81
1338,   count,v,28836,0.95
2578,   count,n,13007,0.94
2851,   counter,n,11676,0.91
4463,   counter,v,5722,0.96
3853,   counterpart,n,7484,0.92
166,   country,n,223138,0.95
1694,   county,n,22675,0.9
4565,   coup,n,6179,0.86
532,   couple,n,74871,0.96
3355,   courage,n,8720,0.97
419,   course,r,96224,0.95
618,   course,n,64012,0.94
542,   court,n,74112,0.94
4193,   courtroom,n,6772,0.89
2735,   cousin,n,12155,0.93
561,   cover,v,69387,0.97
1639,   cover,n,22301,0.96
1890,   coverage,n,19522,0.94
3103,   cow,n,10032,0.94
3033,   crack,n,10330,0.94
3254,   crack,v,9334,0.94
2860,   craft,n,11559,0.92
2859,   crash,n,11250,0.94
3321,   crash,v,9101,0.94
3874,   crawl,v,7596,0.9
1817,   crazy,j,20345,0.93
2024,   cream,n,18443,0.92
333,   create,v,119419,0.95
2132,   creation,n,16967,0.92
2067,   creative,j,17597,0.93
4308,   creativity,n,6452,0.89
2375,   creature,n,14852,0.92
4086,   credibility,n,6742,0.93
1128,   credit,n,34578,0.95
4117,   credit,v,6611,0.94
1718,   crew,n,21238,0.95
831,   crime,n,48010,0.93
1966,   criminal,j,18424,0.94
3368,   criminal,n,8854,0.95
1210,   crisis,n,32924,0.93
2597,   criteria,n,14160,0.86
1362,   critic,n,28244,0.94
1129,   critical,j,35824,0.92
2111,   criticism,n,17049,0.93
2584,   criticize,v,12906,0.94
2483,   crop,n,13733,0.94
1398,   cross,v,27524,0.94
3515,   cross,n,8207,0.96
1277,   crowd,n,30542,0.94
4914,   crowd,v,5083,0.94
4792,   crowded,j,5196,0.95
2419,   crucial,j,14234,0.94
4815,   cruel,j,5128,0.96
4738,   cruise,n,5434,0.93
4355,   crush,v,5985,0.95
1358,   cry,v,29690,0.9
3472,   cry,n,8648,0.93
3610,   crystal,n,8035,0.94
4230,   Cuban,j,6601,0.9
4929,   cue,n,5186,0.92
934,   cultural,j,45673,0.87
612,   culture,n,67128,0.91
780,   cup,n,53633,0.89
4633,   cure,n,5468,0.96
4641,   cure,v,5444,0.96
4570,   curiosity,n,5630,0.94
3139,   curious,j,9738,0.95
3774,   currency,n,7753,0.91
653,   current,j,61252,0.92
1712,   currently,r,21636,0.94
2094,   curriculum,n,19193,0.84
3659,   curtain,n,8204,0.9
3493,   curve,n,8397,0.95
4470,   custody,n,5957,0.92
3017,   custom,n,10408,0.94
1102,   customer,n,36000,0.94
415,   cut,v,96012,0.95
1505,   cut,n,25327,0.94
4390,   cute,j,6089,0.92
2240,   cycle,n,15775,0.93
1828,   dad,n,20164,0.94
1492,   daily,j,25179,0.95
3528,   daily,r,8405,0.93
4444,   dam,n,5968,0.92
1531,   damage,n,24155,0.96
3024,   damage,v,10163,0.96
4460,   damn,j,6269,0.88
1682,   dance,n,21799,0.95
1978,   dance,v,18263,0.94
3697,   dancer,n,7664,0.95
4760,   dancing,n,5243,0.95
1554,   danger,n,23244,0.97
1465,   dangerous,j,25170,0.97
3378,   dare,v,9033,0.93
860,   dark,j,47565,0.91
2170,   dark,n,16865,0.9
2671,   darkness,n,13275,0.88
560,   data,n,76594,0.88
3673,   database,n,8094,0.91
1205,   date,n,31467,0.98
2506,   date,v,13231,0.96
635,   daughter,n,60424,0.96
4044,   dawn,n,6929,0.93
90,   day,n,432773,0.97
727,   dead,j,55111,0.93
4072,   deadline,n,6932,0.91
3545,   deadly,j,8196,0.95
675,   deal,v,57462,0.96
801,   deal,n,48975,0.95
2598,   dealer,n,12999,0.93
3365,   dear,j,9151,0.92
418,   death,n,93222,0.98
1086,   debate,n,37228,0.93
3961,   debate,v,6952,0.95
4622,   debris,n,5491,0.95
1885,   debt,n,19506,0.94
4503,   debut,n,5986,0.91
731,   decade,n,53727,0.95
3911,   decent,j,6954,0.96
457,   decide,v,84035,0.97
480,   decision,n,82429,0.95
2812,   deck,n,11830,0.92
1749,   declare,v,20550,0.97
2014,   decline,v,18058,0.94
2769,   decline,n,11956,0.92
4373,   decorate,v,5997,0.94
3400,   decrease,v,9291,0.89
3837,   dedicate,v,7226,0.96
4607,   deem,v,5639,0.93
978,   deep,j,40126,0.96
1719,   deep,r,21413,0.95
2141,   deeply,r,15848,0.98
2932,   deer,n,11665,0.88
3358,   defeat,v,8945,0.94
4170,   defeat,n,6380,0.96
1762,   defend,v,20510,0.96
3384,   defendant,n,9230,0.91
4876,   defender,n,5136,0.94
658,   defense,n,59701,0.94
2904,   defensive,j,11442,0.91
2425,   deficit,n,15008,0.88
1214,   define,v,33958,0.9
2005,   definitely,r,18214,0.93
2129,   definition,n,17499,0.89
790,   degree,n,50612,0.94
3130,   delay,n,9868,0.94
3471,   delay,v,8333,0.96
4645,   deliberately,r,5388,0.97
3824,   delicate,j,7332,0.95
4946,   delight,n,5038,0.94
1295,   deliver,v,29169,0.97
2828,   delivery,n,11323,0.95
1293,   demand,n,30519,0.93
1461,   demand,v,25207,0.97
1511,   democracy,n,26039,0.91
906,   Democrat,n,46905,0.88
856,   democratic,j,47299,0.92
4669,   demographic,j,6103,0.85
1386,   demonstrate,v,29170,0.9
3169,   demonstration,n,9729,0.94
4797,   denial,n,5207,0.95
4918,   dense,j,5061,0.94
4568,   density,n,6040,0.88
1413,   deny,v,26675,0.96
4886,   depart,v,5035,0.96
1202,   department,n,32252,0.96
3903,   departure,n,7008,0.96
1483,   depend,v,25405,0.95
3231,   dependent,j,10029,0.89
2995,   depending,i,10461,0.95
3234,   depict,v,9721,0.92
4544,   deploy,v,5674,0.94
4744,   deposit,n,5497,0.91
4551,   depressed,j,5543,0.96
2113,   depression,n,16976,0.93
2579,   depth,n,12927,0.95
2591,   deputy,n,12972,0.94
3077,   derive,v,10913,0.87
4046,   descend,v,6896,0.93
569,   describe,v,71377,0.93
2190,   description,n,16415,0.91
2216,   desert,n,15653,0.94
2244,   deserve,v,14944,0.97
837,   design,n,48605,0.92
873,   design,v,45946,0.94
2447,   designer,n,14210,0.92
1560,   desire,n,23994,0.94
3815,   desire,v,7454,0.93
1669,   desk,n,23455,0.89
3116,   desperate,j,9795,0.96
4497,   desperately,r,5701,0.95
742,   despite,i,51526,0.96
4311,   dessert,n,6286,0.92
3918,   destination,n,7039,0.95
1425,   destroy,v,26177,0.97
2708,   destruction,n,12356,0.92
1000,   detail,n,38750,0.97
3150,   detailed,j,10006,0.92
2787,   detect,v,11776,0.93
3830,   detective,n,7441,0.93
3883,   determination,n,7170,0.94
774,   determine,v,52130,0.92
4885,   devastating,j,5055,0.95
485,   develop,v,84835,0.92
3534,   developer,n,8671,0.9
2638,   developing,j,13171,0.9
449,   development,n,91995,0.9
4637,   developmental,j,6255,0.84
1516,   device,n,24918,0.94
4956,   devil,n,5051,0.94
3253,   devote,v,9326,0.95
4126,   diabetes,n,7073,0.88
3868,   diagnose,v,7255,0.94
3627,   diagnosis,n,8454,0.89
2818,   dialogue,n,11706,0.92
4085,   diamond,n,6743,0.93
4381,   diary,n,5945,0.95
4989,   dictate,v,4935,0.95
404,   die,v,98376,0.96
2158,   diet,n,16933,0.9
3016,   differ,v,11222,0.88
497,   difference,n,82911,0.92
238,   different,j,162411,0.96
3158,   differently,r,9565,0.96
609,   difficult,j,63947,0.96
1697,   difficulty,n,22288,0.92
2484,   dig,v,13633,0.94
2377,   digital,j,15048,0.9
4141,   dignity,n,6585,0.94
4159,   dilemma,n,6703,0.92
2440,   dimension,n,14965,0.88
3995,   diminish,v,6875,0.95
2977,   dining,n,10843,0.92
1080,   dinner,n,37156,0.94
4577,   dip,v,5664,0.93
4968,   diplomat,n,5185,0.91
3978,   diplomatic,j,7193,0.91
1487,   direct,j,26008,0.92
1569,   direct,v,23298,0.96
931,   direction,n,41280,0.97
1142,   directly,r,34090,0.96
511,   director,n,79813,0.93
2761,   dirt,n,12063,0.92
2891,   dirty,j,11112,0.94
2581,   disability,n,14197,0.86
4458,   disabled,j,5952,0.92
2701,   disagree,v,12280,0.93
1587,   disappear,v,23389,0.94
4027,   disappointed,j,6724,0.96
4617,   disappointment,n,5464,0.96
2341,   disaster,n,14684,0.95
4832,   disc,n,5403,0.9
2298,   discipline,n,15684,0.91
4469,   disclose,v,5879,0.93
4554,   discount,n,5809,0.92
4254,   discourage,v,6177,0.96
3282,   discourse,n,10560,0.83
959,   discover,v,40489,0.97
2247,   discovery,n,15358,0.95
3194,   discrimination,n,9872,0.92
850,   discuss,v,46852,0.94
1045,   discussion,n,39616,0.91
776,   disease,n,51211,0.94
1950,   dish,n,18887,0.93
3798,   disk,n,7898,0.89
2826,   dismiss,v,11160,0.97
2388,   disorder,n,14780,0.92
2110,   display,v,16806,0.94
2207,   display,n,15575,0.95
2726,   dispute,n,12203,0.93
4337,   dissolve,v,6157,0.93
1241,   distance,n,31380,0.95
2653,   distant,j,12542,0.94
3280,   distinct,j,9682,0.9
2944,   distinction,n,11383,0.9
4775,   distinctive,j,5373,0.93
3273,   distinguish,v,9664,0.9
4548,   distract,v,5720,0.93
2968,   distribute,v,10747,0.94
2394,   distribution,n,15249,0.89
1272,   district,n,31327,0.92
4618,   disturb,v,5532,0.95
4880,   disturbing,j,4990,0.97
2837,   diverse,j,12015,0.89
2553,   diversity,n,13872,0.89
1956,   divide,v,18337,0.95
4091,   divine,j,7059,0.89
1863,   division,n,19772,0.94
3003,   divorce,n,10322,0.96
4262,   divorce,v,6086,0.97
2852,   DNA,n,11580,0.92
18,   do,v,2573587,0.95
4965,   dock,n,5178,0.91
571,   doctor,n,69446,0.95
3783,   doctrine,n,8081,0.87
1396,   document,n,29437,0.88
3342,   document,v,9274,0.91
4264,   documentary,n,6321,0.93
754,   dog,n,52347,0.94
3858,   doll,n,7351,0.93
3662,   domain,n,8641,0.86
1556,   domestic,j,24313,0.93
3204,   dominant,j,10143,0.89
2332,   dominate,v,14768,0.94
4134,   donate,v,6606,0.94
4380,   donation,n,6086,0.92
3884,   donor,n,7231,0.94
344,   door,n,124993,0.88
3902,   doorway,n,7914,0.85
3554,   dose,n,8291,0.93
4529,   dot,n,5795,0.93
2222,   double,j,15233,0.97
2870,   double,v,11195,0.95
1920,   doubt,n,18542,0.97
2988,   doubt,v,10352,0.96
4442,   dough,n,6294,0.88
118,   down,r,329409,0.94
1027,   down,i,39633,0.93
3140,   downtown,j,10172,0.91
4747,   downtown,r,5483,0.92
1198,   dozen,m,32432,0.96
2647,   draft,n,12684,0.93
4279,   draft,v,6234,0.94
2146,   drag,v,16685,0.93
3635,   drain,v,8123,0.92
2654,   drama,n,12393,0.95
2137,   dramatic,j,16233,0.96
3394,   dramatically,r,8712,0.95
593,   draw,v,65198,0.97
4251,   drawer,n,6665,0.89
2544,   drawing,n,13377,0.93
993,   dream,n,39613,0.96
2616,   dream,v,12887,0.93
1443,   dress,v,26669,0.93
1757,   dress,n,21362,0.92
4429,   dried,j,6109,0.91
3634,   drift,v,8311,0.9
4814,   drill,v,5279,0.93
1238,   drink,v,32078,0.93
2040,   drink,n,18227,0.92
3470,   drinking,n,8446,0.95
491,   drive,v,80476,0.96
1448,   drive,n,26373,0.94
1231,   driver,n,31633,0.95
4821,   driveway,n,5459,0.9
3750,   driving,j,7438,0.96
691,   drop,v,56448,0.95
2577,   drop,n,12757,0.96
4980,   drown,v,5097,0.92
462,   drug,n,86231,0.94
4155,   drum,n,6423,0.96
3737,   drunk,j,7890,0.91
1570,   dry,j,23809,0.94
3210,   dry,v,9678,0.93
3553,   duck,n,8335,0.93
1812,   due,i,21141,0.9
2479,   due,j,13252,0.97
4712,   dumb,j,5486,0.93
3671,   dump,v,7689,0.96
198,   during,i,190729,0.95
2283,   dust,n,15475,0.93
4099,   Dutch,j,6690,0.94
1765,   duty,n,20204,0.97
4636,   dying,j,5504,0.95
4017,   dynamic,j,7175,0.9
4137,   dynamics,n,7084,0.87
192,   each,d,196522,0.95
724,   each,p,53663,0.96
3148,   eager,j,9627,0.96
1344,   ear,n,29597,0.92
366,   early,j,108171,0.95
512,   early,r,75605,0.98
1312,   earn,v,29560,0.94
2942,   earnings,n,11324,0.9
1730,   earth,n,21350,0.94
4306,   earthquake,n,6439,0.9
3257,   ease,v,9247,0.95
4289,   ease,n,6103,0.95
1215,   easily,r,31755,0.96
734,   east,n,53010,0.95
1512,   eastern,j,25103,0.94
550,   easy,j,71602,0.96
2923,   easy,r,10790,0.96
544,   eat,v,73505,0.95
3941,   eating,n,7067,0.94
3454,   echo,v,8477,0.95
4448,   ecological,j,6443,0.86
454,   economic,j,90392,0.91
4937,   economically,r,5169,0.92
3213,   economics,n,9758,0.92
3019,   economist,n,10625,0.92
646,   economy,n,60990,0.93
4594,   ecosystem,n,6215,0.85
980,   edge,n,40960,0.94
4295,   edit,v,6157,0.94
3181,   edition,n,9638,0.95
1392,   editor,n,27734,0.94
3059,   educate,v,10171,0.95
377,   education,n,113731,0.89
1596,   educational,j,25282,0.87
2450,   educator,n,15447,0.85
428,   effect,n,95216,0.92
1136,   effective,j,35851,0.91
2587,   effectively,r,13277,0.92
3578,   effectiveness,n,8889,0.86
3073,   efficiency,n,10579,0.91
3023,   efficient,j,10452,0.94
455,   effort,n,86473,0.95
1383,   egg,n,27917,0.94
4829,   ego,n,5239,0.93
744,   eight,m,50871,0.97
4476,   eighth,m,5814,0.94
559,   either,r,69497,0.97
2036,   either,d,17257,0.97
4684,   elaborate,j,5349,0.96
3544,   elbow,n,8536,0.91
4096,   elder,n,6808,0.92
2930,   elderly,j,10976,0.94
2285,   elect,v,15350,0.93
802,   election,n,51322,0.91
2719,   electric,j,12007,0.95
3828,   electrical,j,7347,0.94
2743,   electricity,n,11954,0.94
2429,   electronic,j,14057,0.94
4920,   electronics,n,5116,0.93
3979,   elegant,j,6974,0.94
1218,   element,n,33053,0.92
2536,   elementary,j,13831,0.9
4405,   elephant,n,6038,0.92
3904,   elevator,n,7535,0.89
4319,   eleven,m,6239,0.92
4662,   eligible,j,5529,0.94
1852,   eliminate,v,19773,0.94
2759,   elite,n,12329,0.9
441,   else,r,87876,0.95
2299,   elsewhere,r,14884,0.95
1703,   e-mail,n,22467,0.91
4654,   embarrassed,j,5627,0.92
2495,   embrace,v,13183,0.97
1307,   emerge,v,29496,0.95
1738,   emergency,n,20796,0.96
4528,   emerging,j,5942,0.91
2937,   emission,n,11688,0.88
2135,   emotion,n,16062,0.97
1625,   emotional,j,22773,0.94
4704,   emotionally,r,5321,0.96
2367,   emphasis,n,15337,0.89
2003,   emphasize,v,18933,0.9
4260,   empire,n,6268,0.94
1976,   employ,v,18912,0.91
933,   employee,n,42824,0.93
2317,   employer,n,14846,0.94
2557,   employment,n,13673,0.9
1653,   empty,j,23365,0.9
2212,   enable,v,16293,0.91
4765,   enact,v,5441,0.92
2736,   encounter,v,11974,0.94
3605,   encounter,n,8073,0.94
1188,   encourage,v,33348,0.94
4414,   encouraging,j,5868,0.95
279,   end,n,134104,0.98
534,   end,v,73099,0.97
3758,   endless,j,7458,0.95
3920,   endorse,v,7167,0.93
3685,   endure,v,7586,0.97
1605,   enemy,n,22621,0.97
616,   energy,n,64139,0.94
3579,   enforce,v,8162,0.94
2308,   enforcement,n,15052,0.94
1394,   engage,v,28194,0.92
3849,   engagement,n,7675,0.9
1578,   engine,n,23617,0.94
2011,   engineer,n,17991,0.94
2405,   engineering,n,14853,0.9
1796,   English,j,20235,0.95
1917,   English,n,18719,0.96
2351,   enhance,v,15393,0.9
884,   enjoy,v,44020,0.97
2007,   enormous,j,17482,0.97
375,   enough,r,105880,0.96
874,   enough,d,44378,0.97
3994,   enroll,v,7053,0.92
1768,   ensure,v,21341,0.92
710,   enter,v,54479,0.96
2522,   enterprise,n,13542,0.93
2372,   entertainment,n,14615,0.94
3752,   enthusiasm,n,7368,0.97
871,   entire,j,43997,0.98
1871,   entirely,r,19075,0.97
3495,   entitle,v,8381,0.95
3969,   entity,n,7276,0.9
2899,   entrance,n,11121,0.94
4321,   entrepreneur,n,6238,0.92
2356,   entry,n,14643,0.94
3916,   envelope,n,7241,0.92
858,   environment,n,47807,0.91
822,   environmental,j,51192,0.88
4532,   envision,v,5619,0.96
4973,   epidemic,n,5010,0.94
2869,   episode,n,11070,0.96
1844,   equal,j,19952,0.94
4642,   equality,n,5841,0.89
2390,   equally,r,14389,0.94
4019,   equation,n,7372,0.87
4186,   equip,v,6436,0.94
1359,   equipment,n,28023,0.95
3900,   equity,n,7277,0.92
4377,   equivalent,n,5935,0.95
1898,   era,n,19209,0.95
2218,   error,n,15980,0.93
2051,   escape,v,17195,0.97
4182,   escape,n,6358,0.96
516,   especially,r,76304,0.96
2560,   essay,n,13802,0.89
3498,   essence,n,8388,0.94
1963,   essential,j,19030,0.91
2306,   essentially,r,15020,0.94
899,   establish,v,45921,0.91
2913,   establishment,n,11355,0.91
1792,   estate,n,20673,0.93
1811,   estimate,v,20474,0.93
2514,   estimate,n,13718,0.92
3520,   estimated,j,8464,0.93
3104,   etc,r,10112,0.93
3485,   ethical,j,9018,0.88
3259,   ethics,n,9561,0.92
1742,   ethnic,j,22632,0.88
1269,   European,j,31455,0.92
3736,   European,n,7688,0.93
2360,   evaluate,v,15780,0.87
2374,   evaluation,n,16213,0.84
107,   even,r,361067,0.98
484,   even,c,79087,0.98
965,   evening,n,40881,0.95
526,   event,n,75559,0.95
1110,   eventually,r,34534,0.97
281,   ever,r,135774,0.96
172,   every,a,212739,0.97
803,   everybody,p,51147,0.91
3319,   everyday,j,9065,0.95
530,   everyone,p,74534,0.96
390,   everything,p,103591,0.95
1953,   everywhere,r,18126,0.96
607,   evidence,n,65360,0.94
3496,   evident,j,8753,0.91
3478,   evil,n,8391,0.95
3892,   evil,j,7045,0.96
2969,   evolution,n,11066,0.91
2845,   evolve,v,11442,0.93
3372,   exact,j,8643,0.97
749,   exactly,r,52685,0.93
4263,   exam,n,6176,0.95
3096,   examination,n,10722,0.88
1169,   examine,v,35826,0.89
855,   example,n,47134,0.93
3308,   exceed,v,9362,0.92
2140,   excellent,j,16094,0.96
1850,   except,i,19594,0.95
1915,   except,c,18857,0.95
2423,   exception,n,14136,0.94
4620,   excessive,j,5633,0.93
1522,   exchange,n,24826,0.94
4189,   exchange,v,6394,0.95
3456,   excited,j,8491,0.95
3536,   excitement,n,8160,0.96
2949,   exciting,j,10595,0.96
3500,   exclude,v,8780,0.9
3790,   exclusive,j,7402,0.95
4538,   exclusively,r,5852,0.92
3514,   excuse,v,8722,0.9
3761,   excuse,n,7388,0.96
3676,   execute,v,7671,0.96
4274,   execution,n,6278,0.93
866,   executive,n,47338,0.91
1496,   exercise,n,25934,0.92
2348,   exercise,v,14766,0.94
4786,   exhaust,v,5204,0.95
3330,   exhibit,v,9459,0.9
3860,   exhibit,n,7326,0.93
2498,   exhibition,n,13987,0.91
1019,   exist,v,39341,0.94
2233,   existence,n,15969,0.92
2169,   existing,j,16654,0.91
3835,   exit,n,7333,0.94
4245,   exotic,j,6185,0.96
1581,   expand,v,23417,0.94
2758,   expansion,n,12054,0.92
406,   expect,v,95566,0.98
1903,   expectation,n,19603,0.92
4349,   expected,j,6144,0.93
4705,   expedition,n,5467,0.93
2156,   expense,n,16274,0.94
1674,   expensive,j,21706,0.96
421,   experience,n,98106,0.93
1185,   experience,v,34009,0.92
4379,   experienced,j,6031,0.93
2004,   experiment,n,18440,0.92
3489,   experimental,j,9019,0.88
902,   expert,n,43898,0.95
3936,   expertise,n,7219,0.92
481,   explain,v,80797,0.97
2071,   explanation,n,17712,0.92
4878,   explicit,j,5461,0.88
3132,   explode,v,9821,0.95
4422,   exploit,v,5909,0.94
3921,   exploration,n,7294,0.92
1603,   explore,v,23744,0.92
3051,   explosion,n,10148,0.95
3488,   export,n,9013,0.88
2019,   expose,v,17581,0.96
2249,   exposure,n,15979,0.91
1279,   express,v,30947,0.93
1542,   expression,n,24748,0.93
1452,   extend,v,25969,0.95
4124,   extended,j,6641,0.94
3218,   extension,n,9672,0.93
2868,   extensive,j,11580,0.92
1771,   extent,n,21727,0.9
2886,   external,j,12260,0.86
1552,   extra,j,24006,0.95
2648,   extraordinary,j,12356,0.96
2542,   extreme,j,13064,0.95
1770,   extremely,r,20310,0.96
243,   eye,n,169150,0.89
4516,   eyebrow,n,6212,0.87
3085,   fabric,n,10320,0.92
331,   face,n,127291,0.89
554,   face,v,69493,0.98
3604,   facilitate,v,8946,0.85
1304,   facility,n,30107,0.93
236,   fact,n,164401,0.95
730,   factor,n,57612,0.89
2151,   factory,n,16240,0.95
1998,   faculty,n,20104,0.85
2903,   fade,v,11373,0.92
811,   fail,v,47503,0.97
1367,   failure,n,28234,0.94
4156,   faint,j,6886,0.89
1493,   fair,j,25064,0.96
2176,   fairly,r,15701,0.96
1333,   faith,n,28710,0.95
411,   fall,v,96908,0.95
1013,   fall,n,38822,0.96
2539,   false,j,12871,0.97
4646,   fame,n,5485,0.95
1501,   familiar,j,24515,0.97
147,   family,n,243267,0.97
1495,   famous,j,24631,0.97
1212,   fan,n,32919,0.93
4799,   fantastic,j,5269,0.94
2989,   fantasy,n,10448,0.95
253,   far,r,148621,0.98
977,   far,j,39967,0.96
2189,   far,c,16006,0.94
4830,   fare,n,5362,0.91
1265,   farm,n,30291,0.96
1598,   farmer,n,23005,0.95
4246,   fascinating,j,6231,0.95
1936,   fashion,n,18483,0.96
1100,   fast,r,35474,0.95
2585,   fast,j,12738,0.96
4638,   faster,j,5538,0.94
1584,   fat,n,24844,0.89
2357,   fat,j,14826,0.93
4974,   fatal,j,4875,0.97
2941,   fate,n,10521,0.97
268,   father,n,145051,0.93
4862,   fatigue,n,5214,0.93
2873,   fault,n,11116,0.95
2523,   favor,v,13235,0.95
3437,   favor,n,8403,0.97
3505,   favor,i,8357,0.94
4847,   favorable,j,5324,0.91
1602,   favorite,j,23159,0.94
2900,   favorite,n,11134,0.94
988,   fear,n,38857,0.98
1670,   fear,v,21333,0.98
4581,   feather,n,5744,0.92
1194,   feature,n,33344,0.93
1740,   feature,v,21678,0.92
494,   federal,j,81826,0.94
1840,   fee,n,20263,0.93
1324,   feed,v,28494,0.97
3929,   feedback,n,7735,0.86
134,   feel,v,275214,0.95
3972,   feel,n,6939,0.95
807,   feeling,n,47349,0.98
2443,   fellow,j,13585,0.97
3002,   fellow,n,10339,0.96
1403,   female,j,27952,0.92
2013,   female,n,18932,0.9
4702,   feminist,j,5719,0.89
